osmid,y,x,node_id
3314954624,37.7991881,-122.477803,8612
3329110989,37.7471394,-122.4106184,8613
3365216243,37.7883751,-122.3941037,8614
3386704350,37.7724921,-122.4188648,8615
3386704351,37.7723987,-122.4184981,8616
3449339698,37.724073,-122.4818399,8617
3462373347,37.7136913,-122.4744727,8618
3522821913,37.7643803,-122.4588362,8619
3526821452,37.7229594,-122.4834424,8620
3526821453,37.7230637,-122.483264,8621
3526821457,37.7231289,-122.4826208,8622
3526885166,37.7243656,-122.4817009,8623
3526885173,37.7249588,-122.4846318,8624
3584465769,37.7663889,-122.3907918,8625
3623852266,37.7484122,-122.4626421,8626
3627782253,37.7264229,-122.3960718,8627
3643553531,37.7466069,-122.4638401,8628
3645308400,37.7373911,-122.4682822,8629
3645308401,37.737458,-122.4683624,8630
3645339989,37.7392486,-122.4662444,8631
3645339991,37.7391536,-122.4661748,8632
3646711990,37.7506047,-122.460855,8633
3646712605,37.7507646,-122.4610922,8634
3646946061,37.7509076,-122.4690369,8635
3649464240,37.8032934,-122.4514369,8636
3652899242,37.7149804,-122.4731178,8637
3652903371,37.7208263,-122.4811183,8638
3664014470,37.7581383,-122.4715913,8639
3685132827,37.8046168,-122.4484,8640
3685132833,37.8029721,-122.4554449,8641
3685177529,37.8009977,-122.4479515,8642
3685177534,37.8009503,-122.4480529,8643
3685188686,37.8000133,-122.4465206,8644
3696021765,37.7286797,-122.4470885,8645
3696021774,37.728727,-122.448861,8646
